Código.IBGE,municipio,Diretoria.Regional,Mesorregião,n_alunos_beneficiarios_atualmente,n_familias_beneficiarias_atualmente,n_alunos_receberam_lista_atual,n_alunos_receberam_incluindo_bloqueados,n_familias_receberam_lista_atual,n_familias_receberam_incluindo_bloqueados,n_familias_atuais_receberam_parcialmente,n_alunos_atuais_receberam_parcialmente,n_familias_atuais_receberam_tudo,n_alunos_atuais_receberam_tudo,n_familias_atuais_receberam_a_mais,n_alunos_atuais_receberam_a_mais,perc_alunos_receberam_lista_atual,perc_familias_receberam_lista_atual,total_dinheiro_lista_atual,total_dinheiro
3106507,BERILO,Araçuaí,Jequitinhonha,124,73,59,59,41,41,0,0,41,59,0,0,0.47580645161290325,0.5616438356164384,5900,5900
3106606,BERTOPOLIS,Teófilo Otoni,Vale do Mucuri,13,8,9,9,5,5,0,0,5,9,0,0,0.6923076923076923,0.625,900,900
3106655,BERIZAL,Salinas,Norte de Minas,24,14,14,14,7,7,0,0,7,14,0,0,0.5833333333333334,0.5,1400,1400
3106705,BETIM,Metropolitana,Metropolitana de Belo Horizonte,1084,838,313,313,229,229,0,0,229,313,0,0,0.2887453874538745,0.2732696897374702,31300,31300
3106804,BIAS FORTES,Juiz de Fora,Zona da Mata,12,8,5,5,3,3,0,0,3,5,0,0,0.4166666666666667,0.375,500,500
3106903,BICAS,Juiz de Fora,Zona da Mata,33,25,12,12,9,9,0,0,9,12,0,0,0.36363636363636365,0.36,1200,1200
3107000,BIQUINHAS,Divinópolis,Central Mineira,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3107109,BOA ESPERANCA,Varginha,Sul/Sudoeste de Minas,520,325,267,267,161,161,1,6,160,261,0,0,0.5134615384615384,0.49538461538461537,26500,26500
3107208,BOCAINA DE MINAS,Juiz de Fora,Sul/Sudoeste de Minas,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3107307,BOCAIUVA,Montes Claros,Norte de Minas,262,160,142,142,80,80,1,2,79,140,0,0,0.5419847328244275,0.5,14100,14100
3107406,BOM DESPACHO,Divinópolis,Central Mineira,339,225,80,80,54,54,0,0,54,80,0,0,0.2359882005899705,0.24,8000,8000
3107505,BOM JARDIM DE MINAS,Juiz de Fora,Sul/Sudoeste de Minas,34,26,5,5,3,3,0,0,3,5,0,0,0.14705882352941177,0.11538461538461539,500,500
3107604,BOM JESUS DA PENHA,Passos,Sul/Sudoeste de Minas,2,1,2,2,1,1,0,0,1,2,0,0,1,1,200,200
3107703,BOM JESUS DO AMPARO,Metropolitana,Metropolitana de Belo Horizonte,54,32,29,29,18,18,0,0,18,29,0,0,0.5370370370370371,0.5625,2900,2900
3107802,BOM JESUS DO GALHO,Timóteo,Vale do Rio Doce,30,19,15,15,7,7,0,0,7,15,0,0,0.5,0.3684210526315789,1500,1500
3107901,BOM REPOUSO,Poços de Caldas,Sul/Sudoeste de Minas,173,129,6,6,4,4,0,0,4,6,0,0,0.03468208092485549,0.031007751937984496,600,600
3108008,BOM SUCESSO,São João Del Rei,Oeste de Minas,270,178,18,18,11,11,0,0,11,18,0,0,0.06666666666666667,0.06179775280898876,1800,1800
3108107,BONFIM,Metropolitana,Metropolitana de Belo Horizonte,17,14,2,2,2,2,0,0,2,2,0,0,0.11764705882352941,0.14285714285714285,200,200
3108206,BONFINOPOLIS DE MINAS,Paracatu,Noroeste de Minas,49,36,10,10,7,7,0,0,7,10,0,0,0.20408163265306123,0.19444444444444445,1000,1000
