Código IBGE,Município,Diretoria Regional,Mesorregião,Número de alunos extremamente pobres beneficiários atualmente,Número de famílias extremamente pobres beneficiárias atualmente,Número de alunos extremamente pobres da lista atual que receberam o benefício,"Número de alunos extremamente pobres que receberam o benefício, incluindo os alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício,"Número de famílias extremamente pobres que receberam o benefício, incluindo as famílias que têm alunos bloqueados",Número de famílias extremamente pobres da lista atual que receberam o benefício parcialmente,Número de alunos extremamente pobres da lista atual que receberam o benefício parcialmente,Número de famílias extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de alunos extremamente pobres da lista atual que receberam todo o valor do benefício a que tem direito,Número de famílias extremamente pobres da lista atual que receberam mais que o valor do benefício,Número de alunos extremamente pobres da lista atual que receberam mais que o valor do benefício,Percentual de alunos extremamente pobres da lista atual que receberam o benefício,Percentual de famílias extremamente pobres da lista atual que receberam o benefício,Total de dinheiro repassado aos beneficiários da lista atual de extremamente pobres,"Total de dinheiro repassado aos beneficiários extremamente pobres, incluindo os bloqueados"
3157401,SANTA CRUZ DO ESCALVADO,Timóteo,Zona da Mata,106,78,101,102,74,75,40,52,33,47,1,2,0.9528301886792453,0.9487179487179487,25150,25250
3157500,SANTA EFIGENIA DE MINAS,Governador Valadares,Vale do Rio Doce,235,171,198,203,140,142,48,57,92,141,0,0,0.8425531914893617,0.8187134502923976,53400,53800
3157609,SANTA FE DE MINAS,Montes Claros,Norte de Minas,261,181,210,217,142,145,22,28,118,180,2,2,0.8045977011494253,0.7845303867403315,60400,60900
3157658,SANTA HELENA DE MINAS,Teófilo Otoni,Vale do Mucuri,605,366,595,606,357,363,69,108,286,484,2,3,0.9834710743801653,0.9754098360655737,168000,168600
3157708,SANTA JULIANA,Uberaba,Triângulo Mineiro/Alto Paranaíba,37,30,28,29,24,25,20,23,4,5,0,0,0.7567567567567568,0.8,6100,6200
3157807,SANTA LUZIA,Metropolitana,Metropolitana de Belo Horizonte,5182,3736,4911,5087,3524,3579,1053,1346,2431,3510,40,55,0.9477035893477422,0.943254817987152,1343200,1350400
3157906,SANTA MARGARIDA,Muriaé,Zona da Mata,997,673,741,747,483,486,93,135,388,603,2,3,0.7432296890672017,0.7176820208023774,209000,209400
3158003,SANTA MARIA DE ITABIRA,Timóteo,Metropolitana de Belo Horizonte,124,78,105,105,64,64,25,35,39,70,0,0,0.8467741935483871,0.8205128205128205,28000,28000
3158102,SANTA MARIA DO SALTO,Almenara,Jequitinhonha,289,214,285,286,211,211,77,95,133,189,1,1,0.986159169550173,0.985981308411215,76100,76100
3158201,SANTA MARIA DO SUACUI,Governador Valadares,Vale do Rio Doce,933,621,829,840,546,549,106,132,436,693,4,4,0.8885316184351554,0.8792270531400966,235900,236300
3158300,SANTANA DA VARGEM,Varginha,Sul/Sudoeste de Minas,144,101,138,140,96,96,49,70,47,68,0,0,0.9583333333333334,0.9504950495049505,34400,34400
3158409,SANTANA DE CATAGUASES,Muriaé,Zona da Mata,34,30,33,33,29,29,10,11,19,22,0,0,0.9705882352941176,0.9666666666666667,8800,8800
3158508,SANTANA DE PIRAPAMA,Curvelo,Metropolitana de Belo Horizonte,147,112,146,151,111,111,70,92,41,54,0,0,0.9931972789115646,0.9910714285714286,34600,34600
3158607,SANTANA DO DESERTO,Juiz de Fora,Zona da Mata,4,4,4,4,4,4,1,1,3,3,0,0,1,1,1100,1100
3158706,SANTANA DO GARAMBEU,São João Del Rei,Campo das Vertentes,53,49,52,53,48,48,6,6,41,45,1,1,0.9811320754716981,0.9795918367346939,15100,15100
3158805,SANTANA DO JACARE,Divinópolis,Oeste de Minas,57,45,54,58,44,47,4,5,40,49,0,0,0.9473684210526315,0.9777777777777777,15700,16100
3158904,SANTANA DO MANHUACU,Governador Valadares,Zona da Mata,189,139,122,124,84,85,58,84,26,38,0,0,0.6455026455026455,0.60431654676259,28200,28300
3158953,SANTANA DO PARAISO,Timóteo,Vale do Rio Doce,646,509,630,666,496,515,129,152,358,466,9,12,0.9752321981424149,0.9744597249508841,174900,177100
3159001,SANTANA DO RIACHO,Metropolitana,Metropolitana de Belo Horizonte,162,119,124,126,87,87,33,48,54,76,0,0,0.7654320987654321,0.7310924369747899,32400,32400
3159100,SANTANA DOS MONTES,São João Del Rei,Metropolitana de Belo Horizonte,67,51,53,55,39,41,13,16,26,37,0,0,0.7910447761194029,0.7647058823529411,14300,14500
3159209,SANTA RITA DE CALDAS,Poços de Caldas,Sul/Sudoeste de Minas,92,67,76,77,55,55,22,31,33,45,0,0,0.8260869565217391,0.8208955223880597,19650,19650
3159308,SANTA RITA DE JACUTINGA,Juiz de Fora,Zona da Mata,23,22,17,17,16,16,6,7,10,10,0,0,0.7391304347826086,0.7272727272727273,4400,4400
3159357,SANTA RITA DE MINAS,Timóteo,Vale do Rio Doce,90,68,73,73,56,56,28,36,28,37,0,0,0.8111111111111111,0.8235294117647058,18300,18300
3159407,SANTA RITA DE IBITIPOCA,São João Del Rei,Zona da Mata,81,69,81,84,69,70,14,15,54,65,1,1,1,1,22900,23000
3159506,SANTA RITA DO ITUETO,Governador Valadares,Vale do Rio Doce,237,178,213,215,161,162,96,122,65,91,0,0,0.8987341772151899,0.9044943820224719,51700,51800
3159605,SANTA RITA DO SAPUCAI,Poços de Caldas,Sul/Sudoeste de Minas,25,21,17,17,13,13,9,10,4,7,0,0,0.68,0.6190476190476191,4100,4100
3159704,SANTA ROSA DA SERRA,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,126,98,126,130,98,99,62,78,36,48,0,0,1,1,30000,30200
